plain_roman,count,diacritics,urdu,devanagari,meter
a.snaam-e,1,aṣnām-e,اصنامِ,अस्नाम-ए,sccvcz
ru;x.sat,1,ruḳhṣat,رخصت,रुख़्सत,csccsc
rag-o-pai,1,rag-o-pai,رگ و پے,रग‐ओ‐पै,cscocv
;xam,3,ḳham,خم,ख़म,csc
jalvah-rezii,1,jalvah-rezī,جلوہ ریزی,जल्वा-रेज़ी,csccsc<h+wb>bcvcv
((aziizo,1,ʿazīzo,عزیزو,अज़ीज़ो,cscvcv
ashk-e,1,ashk-e,اشکِ,अश्क-ए,sccz
piite,2,pīte,پیتے,पीते,cvcv
be-;xabar,2,be-ḳhabar,بے خبر,बे-ख़बर,cvbcscsc
mu;haabaa,1,muḥābā,محابا,मुहाबा,cscvcv
naa-tamaamii-e,1,nā-tamāmī-e,نا تمامیِ,ना-तमामी-ए,cvbcscvcv<ii+z>z
kamii;n,3,kamīñ,کمیں,कमीं,cscvn
aabaadii,1,ābādī,آبادی,आबादी,vcvcv
kahaa;n,45,kahāñ,کہاں,कहाँ,cscvn
;xvud-daarii-e,1,ḳhvud-dārī-e,خود داریِ,ख़ुद-दारी-ए,c<;xv>scbcvcv<ii+z>z
siyah-;xaanah-e,1,siyah-ḳhānah-e,سیہ خانۂ,सियह-ख़ाना-ए,cscsc<h+wb>bcvcscz
samajh,6,samajh,سمجھ,समझ,cscsc
palang,1,palang,پلنگ,पलंग,cscscc
guftago,1,guftago,گفتگو,गुफ़्तगो,csccscv
ko))ii,116,koʾī,کوئی,कोई,ko_iicv
raaz-e,6,rāz-e,رازِ,राज़-ए,cvcz
;xvaahishe;n,1,ḳhvāhisheñ,خواہشیں,ख़्वाहिशें,c<;xv>vcscvn
maanind,2,mānind,مانند,मानिंद,cvcscc
raah-o-rasm-e,1,rāh-o-rasm-e,راہ و رسمِ,राह‐ओ‐रस्म-ए,cvc<h+wb>ocsccz
:zaalim,6,z̤ālim,ظالم,ज़ालिम,cvcsc
dashnah,2,dashnah,دشنہ,दश्ना,csccsc<h+wb>
yaktaa))ii,1,yaktāʾī,یکتائی,यकताई,csccvcv
kahnaa,1,kahnā,کہنا,कहना,csccv
na:zaarah-soz,2,naz̤ārah-soz,نظارہ سوز,नज़ारा-सोज़,cscvcsc<h+wb>bcvc
yak-shiiraazah-e,1,yak-shīrāzah-e,یک شیرازۂ,यक-शीराज़ा-ए,cscbcvcvcscz
nayyar,1,nayyar,نیّر,नय्यर,csccsc
((uryaanii,3,ʿuryānī,عریانی,उरयानी,csccvcv
iqliim,1,iqlīm,اقلیم,इक़्लीम,sccvc
shaa;x-e,3,shāḳh-e,شاخِ,शाख़-ए,cvcz
pardah-daarii-e,1,pardah-dārī-e,پردہ داریِ,पर्दा-दारी-ए,csccsc<h+wb>bcvcv<ii+z>z
asiir-e,1,asīr-e,اسیرِ,असीर-ए,scvcz
dair-o-;haram,1,dair-o-ḥaram,دیر و حرم,दैर‐ओ‐हरम,cvcocscsc
sipaas,1,sipās,سپاس,सिपास,cscvc
kaun-se,3,kaun-se,کون سے,कौन-से,cvcbcv
soch,1,soch,سوچ,सोच,cvc
parvarish,1,parvarish,پرورش,पर्वरिश,csccscsc
ajzaa,1,ajzā,اجزا,अज्ज़ा,sccv
na;gmah-saraa,1,naġhmah-sarā,نغمہ سرا,नग़्मा-सरा,csccsc<h+wb>bcscv
;xaan-maa;n-;xaraab,1,ḳhān-māñ-ḳharāb,خان ماں خراب,ख़ान-माँ-ख़राब,cvcbcvnbcscvc
ham-saaye,1,ham-sāye,ہم سایے,हम-साये,cscbcvcv
re;xte,1,reḳhte,ریختے,रेख़्ते,cvccv
jaa))iye,6,jāʾiye,جائیے,जाइये,cvcscv
.zu((f-e,2,ẓuʿf-e,ضعفِ,ज़ुफ़-ए,csccz
balaa))e;n,1,balāʾeñ,بلائیں,बलाएँ,cscvcvn
sar-niguu;n,1,sar-nigūñ,سر نگوں,सर-निगूँ,cscbcscvn
daryaa,19,daryā,دریا,दरया,csccv
rakhtaa,9,rakhtā,رکھتا,रखता,csccv
aa))o,2,āʾo,آؤ,आओ,vcv
ittifaaqii,1,ittifāqī,اتّفاقی,इत्तिफ़ाक़ी,sccscvcv
aa))e,33,āʾe,آئے,आए,vcv
madfan,1,madfan,مدفن,मद्फ़न,csccsc
safar-e,1,safar-e,سفرِ,सफ़र-ए,cscscz
mi;taataa,1,miṭātā,مٹاتا,मिटाता,cscvcv
chhi;rke,1,chhiṛke,چھڑکے,छिड़के,csccv
.sayyaad,5,ṣayyād,صیّاد,सययाद,csccvc
niind,1,nīnd,نیند,नींद,cvcc
laale,1,lāle,لالے,लाले,cvcv
aazmaa))e,1,āzmāʾe,آزمائے,आज़्माए,vccvcv
niyaaz-e,5,niyāz-e,نیازِ,नियाज़-ए,cscvcz
bichhaa))e,1,bichhāʾe,بچھائے,बिछाए,cscvcv
aataa,21,ātā,آتا,आता,vcv
kushtah-e,3,kushtah-e,کشتۂ,कुश्ता-ए,csccscz
sam,1,sam,سم,सम,csc
sab,13,sab,سب,सब,csc
saa,5,sā,سا,सा,cv
shikeb-o-.sabr-e,1,shikeb-o-ṣabr-e,شکیب و صبرِ,शिकेब‐ओ‐सब्र-ए,cscvcocsccz
kisuu,2,kisū,کسو,किसू,cscv
na.siir-e,1,naṣīr-e,نصیرِ,नसीर-ए,cscvcz
tab-e,3,tab-e,تبِ,तब-ए,cscz
sar,41,sar,سر,सर,csc
maanuu;n,1,mānūñ,مانوں,मानूँ,cvcvn
paivand,1,paivand,پیوند,पैवंद,cvcscc
sau,4,sau,سو,सौ,cv
jauhar-;gubaar,1,jauhar-ġhubār,جوہر غبار,जौहर-ग़ुबार,cvcscbcscvc
kuu-e,6,kū-e,کوئے,कू-ए,cvz
naazish-e,3,nāzish-e,نازشِ,नाज़िश-ए,cvcscz
kamii;n-gaah-e,1,kamīñ-gāh-e,کمیں گاہِ,कमीं-गाह-ए,cscvnbcvcz
hangaamah-e,3,hangāmah-e,ہنگامۂ,हंगामा-ए,csccvcscz
i;xfaa-e,1,iḳhfā-e,اخفائے,इख़्फ़ा-ए,sccv<aa+z>z
sarv-e,3,sarv-e,سروِ,सर्व-ए,csccz
tamaashaa-dost,1,tamāshā-dost,تماشا دوست,तमाशा-दोस्त,cscvcvbcvcc
zor,2,zor,زور,ज़ोर,cvc
nigaare,1,nigāre,نگارے,निगारे,cscvcv
rahzan-e,1,rahzan-e,رہزنِ,रहज़न-ए,csccscz
shevah,2,shevah,شیوہ,शेवा,cvcsc<h+wb>
dahan-e,1,dahan-e,دہنِ,दहन-ए,cscscz
;xaa.s,3,ḳhāṣ,خاص,ख़ास,cvc
dekhe;n,2,dekheñ,دیکھیں,देखें,cvcvn
shevan,1,shevan,شیون,शेवन,cvcsc
puuchhe;n,2,pūchheñ,پوچھیں,पूछें,cvcvn
bayaabaa;n-navard-e,1,bayābāñ-navard-e,بیاباں نوردِ,बयाबाँ-नवर्द-ए,cscvcvnbcscsccz
:tarz-e,7,t̤arz-e,طرزِ,तर्ज़-ए,csccz
hame;n,21,hameñ,ہمیں,हमें,cscvn
charchaa,3,charchā,چرچا,चरचा,csccv
chakiidan,1,chakīdan,چکیدن,चकीदन,cscvcsc
;xaamosh,1,ḳhāmosh,خاموش,ख़ामोश,cvcvc
majlis,2,majlis,مجلس,मज्लिस,csccsc
;harii.s-e,1,ḥarīṣ-e,حریصِ,हरीस-ए,cscvcz
.zaamin,2,ẓāmin,ضامن,ज़ामिन,cvcsc
be-gunah,1,be-gunah,بے گنہ,बे-गुनह,cvbcscsc<h+wb>
naz((,1,nazʿ,نزع,नज़्,cscc
kushaadah,4,kushādah,کشادہ,कुशादा,cscvcsc<h+wb>
phir,75,phir,پھر,फिर,csc
ta;zkirah-e,1,tażkirah-e,تذکرۂ,तज़्किरा-ए,csccscscz
nafii,1,nafī,نفی,नफ़ी,cscv
((itaab,2,ʿitāb,عتاب,इताब,cscvc
aabruu,1,ābrū,آبرو,आब्रू,vccv
sa;har,4,saḥar,سحر,सहर,cscsc
((aqiidah,1,ʿaqīdah,عقیدہ,अक़ीदा,cscvcsc<h+wb>
gunbad-e,1,gunbad-e,گنبدِ,गुंबद-ए,csccscz
phuul,1,phūl,پھول,फूल,cvc
;ganiimat,2,ġhanīmat,غنیمت,ग़नीमत,cscvcsc
merii,40,merī,میری,मेरी,cvcv
nuzuul,1,nuzūl,نزول,नुज़ूल,cscvc
bulandii-e,1,bulandī-e,بلندیِ,बुलंदी-ए,cscsccv<ii+z>z
mazduur,1,mazdūr,مزدور,मज़दूर,csccvc
havas-e,8,havas-e,ہوسِ,हवस-ए,cscscz
ma;hshar-e,2,maḥshar-e,محشرِ,महशर-ए,csccscz
tapaak,1,tapāk,تپاک,तपाक,cscvc
be-vafaa))ii,2,be-vafāʾī,بے وفائی,बे-वफ़ाई,cvbcscvcv
sarmaayah,1,sarmāyah,سرمایہ,सर्माया,csccvcsc<h+wb>
sang-aamadah,1,sang-āmadah,سنگ آمدہ,संग-आमदा,csccbvcscsc<h+wb>
naa-kardah,1,nā-kardah,نا کردہ,ना-कर्दा,cvbcsccsc<h+wb>
khoyaa,1,khoyā,کھویا,खोया,cvcv
zahe,2,zahe,زہے,ज़हे,cscv
zahr,2,zahr,زہر,ज़हर,cscc
ba;xsh,1,baḳhsh,بخش,बख़्श,cscc
gul-afshaanii-e,1,gul-afshānī-e,گل افشانیِ,गुल-अफ़्शानी-ए,cscbsccvcv<ii+z>z
aave;nge,1,āveñge,آویں گے,आवेंगे,vcv_e_futncv
naagahaa;n,2,nāgahāñ,ناگہاں,नागहाँ,cvcscvn
aa))inah-saamaa;n,1,āʾinah-sāmāñ,آئنہ ساماں,आइना-सामाँ,vcscsc<h+wb>bcvcvn
barahnagii,1,barahnagī,برہنگی,बरहनगी,cscsccscv
aaftaab-parast,1,āftāb-parast,آفتاب پرست,आफ़्ताब-परस्त,vccvcbcscscc
tan-aasaanii,1,tan-āsānī,تن آسانی,तन-आसानी,cscbvcvcv
kulfat-e,3,kulfat-e,کلفتِ,कुल्फ़त-ए,csccscz
naalah-e,8,nālah-e,نالۂ,नाला-ए,cvcscz
cha;taknaa,1,chaṭaknā,چٹکنا,चटकना,cscsccv
dildaar,2,dildār,دلدار,दिलदार,csccvc
davaam,1,davām,دوام,दवाम,cscvc
i;xlaa.s,1,iḳhlāṣ,اخلاص,इख़्लास,sccvc
naalah-farsaa,1,nālah-farsā,نالہ فرسا,नाला-फ़रसा,cvcsc<h+wb>bcsccv
aa))iinah-;xaane,1,āʾīnah-ḳhāne,آئینہ خانے,आईना-ख़ाने,vcvcsc<h+wb>bcvcv
taf-e,1,taf-e,تفِ,तफ़-ए,cscz
kaav-kaav-e,1,kāv-kāv-e,کاو کاوِ,काव-काव-ए,cvcbcvcz
;hairat,7,ḥairat,حیرت,हैरत,cvcsc
kuuchah-daadan-e,1,kūchah-dādan-e,کوچہ دادنِ,कूचा-दादन-ए,cvcsc<h+wb>bcvcscz
bazm-aaraa))iyaa;n,2,bazm-ārāʾiyāñ,بزم آرائیاں,बज़्म-आराइयाँ,csccbvcvcscvn
barshkaal-e,1,barshkāl-e,برشکالِ,बर्श्काल-ए,cscccvcz
us,151,us,اس,उस,sc
i.z:tiraab-e,1,iẓt̤irāb-e,اضطرابِ,इज़्तिराब-ए,sccscvcz
dar-tishnagii-murdagaa;n,1,dar-tishnagī-murdagāñ,در تشنگی مردگاں,दर-तिश्नगी-मुर्दगाँ,cscbcsccscvbcsccscvn
mihrbaaniihaa-e,1,mihrbānīhā-e,مہربانیہائے,मिहर्बानीहा-ए,cscccvcvcv<aa+z>z
nafas-parvar,1,nafas-parvar,نفس پرور,नफ़स-पर्वर,cscscbcsccsc
vuhii,10,vuhī,وہی,वही,cscv
hijr-e,2,hijr-e,ہجرِ,हिज्र-ए,csccz
biinaa,2,bīnā,بینا,बीना,cvcv
un,30,un,ان,उन,sc
aazaadii-e,1,āzādī-e,آزادیِ,आज़ादी-ए,vcvcv<ii+z>z
;daale;nge,1,ḍāleñge,ڈالیں گے,डालेंगे,cvcv_e_futncv
qabuul,2,qabūl,قبول,क़बूल,cscvc
begaanah,2,begānah,بیگانہ,बेगाना,cvcvcsc<h+wb>
sa((ii-e,6,saʿī-e,سعیِ,सी-ए,cscv<ii+z>z
na:z:zaaragii,1,naz̤z̤āragī,نظّارگی,नज़्ज़ारगी,csccvcscv
qahr,2,qahr,قہر,क़हर,cscc
tuu,41,tū,تو,तू,cv
shahr,4,shahr,شہر,शहर,cscc
maqbuul,1,maqbūl,مقبول,मक़बूल,csccvc
jo,140,jo,جو,जो,cv
tum,49,tum,تم,तुम,csc
ham-:tar;hii-o-dard-e,1,ham-t̤arḥī-o-dard-e,ہم طرحی و دردِ,हम-तरही‐ओ‐दर्द-ए,cscbcsccv<ii+o>ocsccz
ga))e,24,gaʾe,گئے,गए,cscv
yaas-;xez,1,yās-ḳhez,یاس خیز,यास-ख़ेज़,cvcbcvc
;zauq,5,żauq,ذوق,ज़ौक़,cvc
thame,1,thame,تھمے,थमे,cscv
fitnah-e,3,fitnah-e,فتنۂ,फ़ित्ना-ए,csccscz
chakkar,1,chakkar,چکّر,चक्कर,csccsc
vajd-e,1,vajd-e,وجدِ,वज्द-ए,csccz
do-jahaa;n,2,do-jahāñ,دو جہاں,दो-जहाँ,cvbcscvn
na.siib,1,naṣīb,نصیب,नसीब,cscvc
:tahuur,1,t̤ahūr,طہور,तहूर,cscvc
;haa))il,1,ḥāʾil,حائل,हाइल,cvcsc
qatl,7,qatl,قتل,क़त्ल,cscc
dahan,3,dahan,دہن,दहन,cscsc
nau;hah-;xvaa;n,1,nauḥah-ḳhvāñ,نوحہ خواں,नौहा-ख़्वाँ,cvcsc<h+wb>bc<;xv>vn
;zauq-fizaa,1,żauq-fizā,ذوق فزا,ज़ौक़-फ़िज़ा,cvcbcscv
diidaar-jo,1,dīdār-jo,دیدار جو,दीदार-जो,cvcvcbcv
((inaa;n-guse;xtah,1,ʿināñ-guseḳhtah,عناں گسیختہ,इनाँ-गुसेख़्ता,cscvnbcscvccsc<h+wb>
mard,2,mard,مرد,मर्द,cscc
mare,1,mare,مرے,मरे,cscv
marg,7,marg,مرگ,मर्ग,cscc
rezish'haa-e,1,rezish'hā-e,ریزشہائے,रेज़िशहा-ए,cvcscbcv<aa+z>z
baadbaan-e,1,bādbān-e,بادبانِ,बादबान-ए,cvccvcz
karoge,1,karoge,کروگے,करोगे,cscv_o_futcv
bolaa,2,bolā,بولا,बोला,cvcv
jigar-;xaa))ii-e,1,jigar-ḳhāʾī-e,جگر خائیِ,जिगर-ख़ाई-ए,cscscbcvcv<ii+z>z
;tapke,2,ṭapke,ٹپکے,टपके,csccv
.zarar,1,ẓarar,ضرر,ज़रर,cscsc
safedii,1,safedī,سفیدی,सफ़ेदी,cscvcv
be-shiiraazah,1,be-shīrāzah,بے شیرازہ,बे-शीराज़ा,cvbcvcvcsc<h+wb>
;gara.z,2,ġharaẓ,غرض,ग़रज़,cscsc
ruu-shinaas-e,1,rū-shinās-e,رو شناسِ,रू-शिनास-ए,cvbcscvcz
shikan,1,shikan,شکن,शिकन,cscsc
khe;nchaa,3,kheñchā,کھینچا,खेंचा,cvncv
chal,6,chal,چل,चल,csc
fitnah-;xuu,1,fitnah-ḳhū,فتنہ خو,फ़ित्ना-ख़ू,csccsc<h+wb>bcv
ash((aar,3,ashʿār,اشعار,अश्ार,sccvc
anaa-al-ba;hr,1,anā-al-baḥr,انا البحر,अना-अल-बहर,scvbalcscc
;gamzah,2,ġhamzah,غمزہ,ग़म्ज़ा,csccsc<h+wb>
sho;xii,2,shoḳhī,شوخی,शोख़ी,cvcv
;xanjar-aazmaa,1,ḳhanjar-āzmā,خنجر آزما,ख़ंजर-आज़्मा,csccscbvccv
sa;xt,5,saḳht,سخت,सख़्त,cscc
hangaame,1,hangāme,ہنگامے,हंगामे,csccvcv
tujh-saa,1,tujh-sā,تجھ سا,तुझ-सा,cscbcv
gustaa;x,2,gustāḳh,گستاخ,गुस्ताख़,csccvc
daa))im-ul-;habs,1,dāʾim-ul-ḥabs,دائم الحبس,दाइम-उल-हब्स,cvcscbalcscc
chiraa;g-e,12,chirāġh-e,چراغِ,चिराग़-ए,cscvcz
ma;hramii-e,1,maḥramī-e,محرمیِ,महरमी-ए,csccscv<ii+z>z
yaktaa,2,yaktā,یکتا,यकता,csccv
lipa;tnaa,1,lipaṭnā,لپٹنا,लिपटना,cscsccv
jaante,6,jānte,جانتے,जानते,cvccv
dunyaa,12,dunyā,دنیا,दुनिया,csccv
ma-aal,1,ma-āl,م آل,म-आल,csbvc
saath,10,sāth,ساتھ,साथ,cvc
par,128,par,پر,पर,csc
pas,1,pas,پس,पस,csc
ma((shuuqii-o-be-;hau.slagii,1,maʿshūqī-o-be-ḥauṣlagī,معشوقی و بے حوصلگی,माशूक़ी‐ओ‐बे-हौस्लगी,csccvcv<ii+o>ocvbcvccscv
paa,20,pā,پا,पा,cv
mai-;xaane,1,mai-ḳhāne,مے خانے,मै-ख़ाने,cvbcvcv
kha;tkaa,3,khaṭkā,کھٹکا,खटका,csccv
tamhiid-e,1,tamhīd-e,تمہیدِ,तम्हीद-ए,csccvcz
pah,102,pah,پہ,पे,csc<h+wb>
pai,2,pai,پے,पै,cv
kamand-e,1,kamand-e,کمندِ,कमंद-ए,cscsccz
kamaal-e,2,kamāl-e,کمالِ,कमाल-ए,cscvcz
hai;n,240,haiñ,ہیں,हैं,cvn
arzaanii-e,1,arzānī-e,ارزانیِ,अर्ज़ानी-ए,sccvcv<ii+z>z
mai;n,122,maiñ,میں,मैं,cvn
nikaltii,5,nikaltī,نکلتی,निकलती,cscsccv
sulaimaa;n-jaah,1,sulaimāñ-jāh,سلیماں جاہ,सुलैमाँ-जाह,cscvcvnbcvc<h+wb>
haa;n,16,hāñ,ہاں,हाँ,cvn
;haalat,3,ḥālat,حالت,हालत,cvcsc
farmaave;nge,2,farmāveñge,فرماویں گے,फ़र्मावेंगे,csccvcv_e_futncv
daftar-e,1,daftar-e,دفترِ,दफ़्तर-ए,csccscz
kaan,2,kān,کان,कान,cvc
kaam,20,kām,کام,काम,cvc
bi;thaataa,1,biṭhātā,بٹھاتا,बिठाता,cscvcv
hu))o;n,1,huʾoñ,ہئوں,हुओं,cscvn
kaar,2,kār,کار,कार,cvc
bulbule;n,1,bulbuleñ,بلبلیں,बुल्बुलें,csccscvn
mahram-e,1,mahram-e,مہرمِ,महरम-ए,csccscz
nairang-e,6,nairang-e,نیرنگِ,नैरंग-ए,cvcsccz
raqiib-e,1,raqīb-e,رقیبِ,रक़ीब-ए,cscvcz
takalluf,8,takalluf,تکلف,तकल्लुफ़,cscsccsc
nigaah-e,16,nigāh-e,نگاہِ,निगाह-ए,cscvcz
taazah-;xayaalii,1,tāzah-ḳhayālī,تازہ خیالی,ताज़ा-ख़याली,cvcsc<h+wb>bcscvcv
zindaaniyo;n,1,zindāniyoñ,زندانیوں,ज़िंदानियों,csccvcscvn
nasiim,2,nasīm,نسیم,नसीम,cscvc
faujdaarii,1,faujdārī,فوجداری,फ़ौजदारी,cvccvcv
rag-e,9,rag-e,رگِ,रग-ए,cscz
likhe,2,likhe,لکھے,लिखे,cscv
khe;nchuu;n,1,kheñchūñ,کھینچوں,खेंचूँ,cvncvn
anjuman-e,2,anjuman-e,انجمنِ,अंजुमन-ए,sccscscz
diyaa,20,diyā,دیا,दिया,cscv
;haqiiqat-e,1,ḥaqīqat-e,حقیقتِ,हक़ीक़त-ए,cscvcscz
shaam-e,4,shām-e,شامِ,शाम-ए,cvcz
mubtalaa-e,1,mubtalā-e,مبتلائے,मुब्तला-ए,csccscv<aa+z>z
taar-o-puud,1,tār-o-pūd,تار و پود,तार‐ओ‐पूद,cvcocvc
kahe;n,14,kaheñ,کہیں,कहें,cscvn
nau,3,nau,نو,नौ,cv
bad-((ahdii,1,bad-ʿahdī,بد عہدی,बद-अहदी,cscbcsccv
bar-:taraf,4,bar-t̤araf,بر طرف,बर-तरफ़,cscbcscsc
kandhaa,1,kandhā,کندھا,कंधा,csccv
zulf,11,zulf,زلف,ज़ुल्फ़,cscc
istiqbaal-e,1,istiqbāl-e,استقبالِ,इस्तिक़बाल-ए,sccsccvcz
karnaa,3,karnā,کرنا,करना,csccv
saa))e,4,sāʾe,سائے,साए,cvcv
auj-e,2,auj-e,اوجِ,औज-ए,vcz
;xaak-andaaz,1,ḳhāk-andāz,خاک انداز,ख़ाक-अंदाज़,cvcbsccvc
.sadmah-e,1,ṣadmah-e,صدمۂ,सद्मा-ए,csccscz
jaam-o-sabuu,1,jām-o-sabū,جام و سبو,जाम‐ओ‐सबू,cvcocscv
chiin-e,1,chīn-e,چینِ,चीन-ए,cvcz
raunaq-e,1,raunaq-e,رونقِ,रौनक़-ए,cvcscz
gird-e,1,gird-e,گردِ,गिर्द-ए,csccz
taaliif-e,1,tālīf-e,تالیفِ,तालीफ़-ए,cvcvcz
chaarah-juu))ii,1,chārah-jūʾī,چارہ جوئی,चारा-जूई,cvcsc<h+wb>bcvcv
mu((aaf-e,1,muʿāf-e,معافِ,मुआफ़-ए,cscvcz
lab-e,7,lab-e,لبِ,लब-ए,cscz
jagah,5,jagah,جگہ,जगह,cscsc<h+wb>
asaamii,1,asāmī,اسامی,असामी,scvcv
shikeb-e,1,shikeb-e,شکیبِ,शिकेब-ए,cscvcz
naam,11,nām,نام,नाम,cvc
qais,4,qais,قیس,क़ैस,cvc
((aalam-e,6,ʿālam-e,عالمِ,आलम-ए,cvcscz
be-dar-o-diivaar,1,be-dar-o-dīvār,بے در و دیوار,बे-दर‐ओ‐दीवार,cvbcscocvcvc
naak,1,nāk,ناک,नाक,cvc
aastaan-e,1,āstān-e,آستانِ,आस्तान-ए,vccvcz
;gair-e,2,ġhair-e,غیرِ,ग़ैर-ए,cvcz
muqaddar,1,muqaddar,مقدّر,मुक़द््दर,cscsccsc
naar,1,nār,نار,नार,cvc
qaid,5,qaid,قید,क़ैद,cvc
naaz,43,nāz,ناز,नाज़,cvc
andher,2,andher,اندھیر,अंधेर,sccvc
kashaakash-e,1,kashākash-e,کشاکشِ,कशाकश-ए,cscvcscz
aa;gosh-kushaa))ii,1,āġhosh-kushāʾī,آغوش کشائی,आग़ोश-कुशाई,vcvcbcscvcv
pech-o-;xam,1,pech-o-ḳham,پیچ و خم,पेच‐ओ‐ख़म,cvcocsc
((aziiz,11,ʿazīz,عزیز,अज़ीज़,cscvc
:tuu:tii,4,t̤ūt̤ī,طوطی,तूती,cvcv
dushvaar,3,dushvār,دشوار,दुशवार,csccvc
par-fishaanii,1,par-fishānī,پر فشانی,पर-फ़िशानी,cscbcscvcv
dhabbe,1,dhabbe,دھبّے,धबबे,csccv
dekhe,2,dekhe,دیکھے,देखे,cvcv
samjhuu;ngaa,1,samjhūñgā,سمجھونگا,समझूंगा,csccvncv
u;raane,1,uṛāne,اڑانے,उड़ाने,scvcv
ruktii,1,ruktī,رکتی,रुकती,csccv
naa.siyah-farsaa,1,nāṣiyah-farsā,ناصیہ فرسا,नासिया-फ़रसा,cvcscsc<h+wb>bcsccv
qaatil,17,qātil,قاتل,क़ातिल,cvcsc
yak-((aalam-o-((aalam,1,yak-ʿālam-o-ʿālam,یک عالم و عالم,यक-आलम‐ओ‐आलम,cscbcvcscocvcsc
aa;nsuu,1,āñsū,آنسو,आंसू,vncv
((aashiq-e,2,ʿāshiq-e,عاشقِ,आशिक़-ए,cvcscz
mabaadaa,2,mabādā,مبادا,मबादा,cscvcv
aa;nkho;n,8,āñkhoñ,آنکھوں,आंखों,vncvn
tarkash,1,tarkash,ترکش,तर्कश,csccsc
bar-;xvurdaar-e,1,bar-ḳhvurdār-e,بر خوردارِ,बर-ख़ुर्दार-ए,cscbc<;xv>sccvcz
puuchhte,2,pūchhte,پوچھتے,पूछते,cvccv
rahuu;n,1,rahūñ,رہوں,रहूँ,cscvn
naqshaa,1,naqshā,نقشا,नक़्शा,csccv
yak-dars-e,1,yak-dars-e,یک درسِ,यक-दर्स-ए,cscbcsccz
;hall-e,1,ḥall-e,حلِ,हल्ल-ए,csccz
baazii-;xvur-e,1,bāzī-ḳhvur-e,بازی خورِ,बाज़ी-ख़ुर-ए,cvcvbc<;xv>scz
be-;xarosh,1,be-ḳharosh,بے خروش,बे-ख़रोश,cvbcscvc
naqshah,2,naqshah,نقشہ,नक़्शा,csccsc<h+wb>
dekhiye,12,dekhiye,دیکھیے,देखिये,cvcscv
ma((luum,18,maʿlūm,معلوم,मालूम,csccvc
dil-sitaanii,1,dil-sitānī,دل ستانی,दिल-सितानी,cscbcscvcv
jins-e,2,jins-e,جنسِ,जिंस-ए,csccz
jitne,2,jitne,جتنے,जितने,csccv
zer-e,3,zer-e,زیرِ,ज़ेर-ए,cvcz
;xvaab,11,ḳhvāb,خواب,ख़्वाब,c<;xv>vc
((uquubat,1,ʿuqūbat,عقوبت,उक़ूबत,cscvcsc
bedil,4,bedil,بیدل,बेदिल,cvcsc
raa;hat-:talabii,1,rāḥat-t̤alabī,راحت طلبی,राहत-तलबी,cvcscbcscscv
aa))inah-;xaane,1,āʾinah-ḳhāne,آئنہ خانے,आइना-ख़ाने,vcscsc<h+wb>bcvcv
buu-ul-havas,2,bū-ul-havas,بو الہوس,बू-उल-हवस,cvbalcscsc
;xa:t:t-e,4,ḳhat̤t̤-e,خطِّ,ख़त्त-ए,csccz
;xaraabii,4,ḳharābī,خرابی,ख़राबी,cscvcv
ka;t,1,kaṭ,کٹ,कट,csc
gardan,12,gardan,گردن,गर्दन,csccsc
rasm-o-rah-e,1,rasm-o-rah-e,رسم و رۂ,रस्म‐ओ‐रा-ए,csccocscz
aablah,1,āblah,آبلہ,आब्ला,vccsc<h+wb>
bedaad-gar,1,bedād-gar,بیداد گر,बेदाद-गर,cvcvcbcsc
sust-ruu,1,sust-rū,سست رو,सुस्त-रू,csccbcv
tah-bandii-e,1,tah-bandī-e,تہ بندیِ,तह-बंदी-ए,csc<h+wb>bcsccv<ii+z>z
vohii,2,vohī,ووہی,वोही,cvcv
kho))e,1,khoʾe,کھوئے,खोए,cvcv
;haq-e,1,ḥaq-e,حقِ,हक़-ए,cscz
mazaar,1,mazār,مزار,मज़ार,cscvc
;tapkaa,2,ṭapkā,ٹپکا,टपका,csccv
bhaage;nge,2,bhāgeñge,بھاگیں گے,भागेंगे,cvcv_e_futncv
sar-kash,1,sar-kash,سر کش,सर-कश,cscbcsc
dast-gaah-e,1,dast-gāh-e,دست گاہِ,दस्त-गाह-ए,csccbcvcz
mujhe,122,mujhe,مجھے,मुझे,cscv
vaqto;n,1,vaqtoñ,وقتوں,वक़तों,csccvn
bekasii,5,bekasī,بیکسی,बेकसी,cvcscv
bahaanah-e,2,bahānah-e,بہانۂ,बहाना-ए,cscvcscz
aa,27,ā,آ,आ,v
ab,40,ab,اب,अब,sc
nasheb-o-faraaz,1,nasheb-o-farāz,نشیب و فراز,नशेब‐ओ‐फ़राज़,cscvcocscvc
daruu;n,1,darūñ,دروں,दरूँ,cscvn
.sabuur,1,ṣabūr,صبور,सबूर,cscvc
pech-o-taab,3,pech-o-tāb,پیچ و تاب,पेच‐ओ‐ताब,cvcocvc
begaanagii,2,begānagī,بیگانگی,बेगानगी,cvcvcscv
.sa;hraa,12,ṣaḥrā,صحرا,सहरा,csccv
ay,81,ay,ای,अय,sc
az,15,az,از,अज़,sc
mai-parastaa;n,1,mai-parastāñ,مے پرستاں,मै-परस्ताँ,cvbcscsccvn
taqriir,5,taqrīr,تقریر,तक़रीर,csccvc
