plain_roman,count,diacritics,urdu,devanagari,meter
tamiiz-e,1,tamīz-e,تمیزِ,तमीज़-ए,cscvcz
rahte,1,rahte,رہتے,रहते,csccv
baadah-noshii-e,1,bādah-noshī-e,بادہ نوشیِ,बादा-नोशी-ए,cvcsc<h+wb>bcvcv<ii+z>z
ma((aa.sii,3,maʿāṣī,معاصی,मआसी,cscvcv
;xvaab-naak,1,ḳhvāb-nāk,خواب ناک,ख़्वाब-नाक,c<;xv>vcbcvc
pahu;nchaa,1,pahuñchā,پہنچا,पहुंचा,pahuncv
achchhe,2,achchhe,اچّھے,अच्छे,sccv
parii,2,parī,پری,परी,cscv
((aari.z,1,ʿāriẓ,عارض,आरिज़,cvcsc
haihaat,1,haihāt,ہیہات,हैहात,cvcvc
liyaa,5,liyā,لیا,लिया,cscv
vufuur-e,2,vufūr-e,وفورِ,वुफ़ूर-ए,cscvcz
maq.sad,1,maqṣad,مقصد,मक़्सद,csccsc
shar:t-e,1,shart̤-e,شرطِ,शर्त-ए,csccz
sitam-kash,1,sitam-kash,ستم کش,सितम-कश,cscscbcsc
chaahiye,41,chāhiye,چاہیے,चाहिये,cvcscv
jauhar,4,jauhar,جوہر,जौहर,cvcsc
kushaad-e,1,kushād-e,کشادِ,कुशाद-ए,cscvcz
ghisegaa,1,ghisegā,گھسےگا,घिसेगा,cscv_e_futcv
tho;rii,1,thoṛī,تھوڑی,थोड़ी,cvcv
jafaa-saa))il,1,jafā-sāʾil,جفا سائل,जफ़ा-साइल,cscvbcvcsc
baaziichah-e,1,bāzīchah-e,بازیچۂ,बाज़ीचा-ए,cvcvcscz
harzah,1,harzah,ہرزہ,हर्ज़ा,csccsc<h+wb>
lagaa,11,lagā,لگا,लगा,cscv
just-juu,1,just-jū,جست جو,जुस्त-जू,csccbcv
sai;nk;ro;n,1,saiñkṛoñ,سینکڑوں,सैंकड़ों,cvnccvn
mu.zaa))iqah,1,muẓāʾiqah,مضائقہ,मुज़ाइक़ा,cscvcscsc<h+wb>
.sadaa-e,6,ṣadā-e,صدائے,सदा-ए,cscv<aa+z>z
aa))inah-daarii-e,1,āʾinah-dārī-e,آئنہ داریِ,आइना-दारी-ए,vcscsc<h+wb>bcvcv<ii+z>z
